seed,sample_index,initial_range_m,initial_closing_speed_mps,camera_azimuth_deg,camera_elevation_deg,camera_u_fraction,camera_v_fraction,image_plane_bucket,camera_elevation_bucket,camera_azimuth_bucket,ivbs_caught,beihang_caught,outcome_class,ivbs_min_distance_m,beihang_min_distance_m,ivbs_visible_fraction,beihang_visible_fraction,ivbs_control_effort,beihang_control_effort,visibility_bucket,closing_bucket,selection_class
18,17,5.000000093681546,0.44517582219012997,345.4031903262501,-7.241153519237416,-0.20500872722914462,-0.811371459665079,edge,level,front_left,False,True,beihang_only,0.5155532956123352,0.4929550886154175,0.09666666666666666,0.13054830287206268,10.185183206179762,2.360035685163345,02_0.05_0.10,01_0.35_0.45,beihang_only
28,27,4.9999997171047585,0.41360193557297514,166.14018362447385,-6.097311039374677,0.5913680284861509,-0.578886589546115,mid,level,rear_right,False,True,beihang_only,0.9528211951255798,0.4966689348220825,0.09,0.12655086848635236,10.08925695008054,2.956034655984038,02_0.05_0.10,01_0.35_0.45,beihang_only
106,105,4.999999873615167,1.9517857097770939,92.45363738551333,-6.8563528780193455,0.20001973723120436,0.1732709046238996,center,level,rear_right,False,True,beihang_only,0.7244853973388672,0.4950721263885498,0.09,0.12813370473537605,10.261339884656147,2.3325957797982455,02_0.05_0.10,02_ge_0.45,beihang_only
264,263,7.999999821349574,1.9798140815048606,229.22824989722443,-26.65400606277698,0.07249000778461122,0.21382848695859658,center,level,rear_left,False,True,beihang_only,0.5450573563575745,0.48987412452697754,0.1,0.14563106796116504,10.162296972595774,2.3082325624906175,03_ge_0.10,02_ge_0.45,beihang_only
11,10,5.000000029313027,0.40927888943994795,231.27761118529352,4.935051300071046,-0.5815085654871903,-0.6803743700159012,mid,level,rear_left,False,False,shared_miss,0.8254851698875427,0.799708902835846,0.105,0.09833333333333333,7.887081364500649,9.486645726671602,03_ge_0.10,01_0.35_0.45,high_visibility_miss
219,218,8.000000032544335,0.45694181774136866,293.1966402919635,1.3295951082051924,-0.4148792857487648,0.27504731128509435,mid,level,front_left,False,False,shared_miss,0.5915275812149048,1.7316099405288696,0.15,0.051666666666666666,2.6573689262027083,9.061404374753645,03_ge_0.10,02_ge_0.45,high_visibility_miss
247,246,8.000000036862062,1.5844964358038185,70.28642086885408,1.8819193436226003,0.7121594121978089,-0.508099863859138,edge,level,front_right,False,False,shared_miss,0.8520345687866211,0.8202552199363708,0.115,0.105,7.673355166032347,9.113652175498226,03_ge_0.10,02_ge_0.45,high_visibility_miss
253,252,7.999999786330318,1.59574593727282,279.9966905378661,7.735157104033928,-0.5624972059878277,-0.8736797039606506,edge,level,front_left,False,False,shared_miss,0.6848912239074707,1.003858208656311,0.11666666666666667,0.10166666666666667,7.3628341852791905,9.455325918463306,03_ge_0.10,02_ge_0.45,high_visibility_miss
254,253,7.999999953969766,1.73934591248012,111.57955654799504,-8.190548804687511,0.5660087788063893,0.0736164530511776,mid,level,rear_right,False,False,shared_miss,0.8640525937080383,0.7356306314468384,0.15,0.08666666666666667,3.5130131594704608,9.020674547270438,03_ge_0.10,02_ge_0.45,high_visibility_miss
21,20,5.000000129550799,0.47471004782797827,149.09013408766108,2.4220236242746958,-0.3243974079802064,-0.11162780693943776,center,level,rear_right,True,False,ivbs_only,0.48230215907096863,0.7574361562728882,0.1431451612903226,0.09333333333333334,2.280795292106274,9.081848826973735,03_ge_0.10,02_ge_0.45,ivbs_only
35,34,5.000000164195785,0.46916393851521176,182.90032365607254,7.304986833345828,-0.1591779333277244,0.5755867678087461,mid,level,rear_left,True,False,ivbs_only,0.4871199131011963,1.2255905866622925,0.07103825136612021,0.051666666666666666,2.884856348086527,8.09087708353113,02_0.05_0.10,02_ge_0.45,ivbs_only
52,51,4.999999794488782,0.46122450395306414,113.01542368457368,-10.287759694391205,0.11284037359732225,0.6981614683789339,mid,level,rear_right,True,False,ivbs_only,0.4903523623943329,0.5034847259521484,0.14397905759162305,0.09833333333333333,1.6576328345789377,8.06567864311571,03_ge_0.10,02_ge_0.45,ivbs_only
55,54,4.9999999068865,0.48172242817295285,292.18362715742103,1.606413252498318,0.24627806141627848,0.22363601926198648,center,level,front_left,True,False,ivbs_only,0.4789596498012543,0.7941539287567139,0.14919354838709678,0.07666666666666666,2.2482848139802103,8.892833432340842,03_ge_0.10,02_ge_0.45,ivbs_only
140,139,4.9999999813657094,7.292126508964731,298.2491996419633,-47.39994333911941,0.06685382441090781,0.7728541323834784,edge,down,front_left,False,False,shared_miss,1.7788879871368408,1.77236807346344,0.01805869074492099,0.020134228187919462,13.537688444770255,12.590485292387974,00_lt_0.02,02_ge_0.45,low_visibility_miss
168,167,4.9999999678075255,7.061241823539529,181.868362476796,-10.203100797800813,-0.14550068639557748,0.8872332673588896,edge,level,rear_left,False,False,shared_miss,2.131756544113159,2.1292054653167725,0.013333333333333334,0.018333333333333333,16.81023382143412,14.137422121304944,00_lt_0.02,02_ge_0.45,low_visibility_miss
171,170,4.9999999665510115,6.994607003990442,62.943092578267425,34.31978906609266,0.3621976630173185,0.7285949887627927,edge,up,front_right,False,False,shared_miss,1.5312516689300537,1.5544627904891968,0.015,0.03666666666666667,17.79171013575115,13.476605924408073,00_lt_0.02,02_ge_0.45,low_visibility_miss
292,291,7.999999998468859,6.3406310843156675,78.41788791332861,79.22916176769832,0.7313555744276666,0.4135798712933901,edge,up,front_right,False,False,shared_miss,5.401340007781982,5.397279739379883,0.013333333333333334,0.011666666666666667,7.739138999793152,5.6738495696142275,00_lt_0.02,02_ge_0.45,low_visibility_miss
304,303,7.999999952991283,6.221374165721737,141.07184664597548,48.64758265369997,-0.7562926404409805,0.49457067219620127,edge,up,rear_right,False,False,shared_miss,5.105617046356201,4.666114330291748,0.016666666666666666,0.01,7.017451481394116,6.629342517357008,00_lt_0.02,02_ge_0.45,low_visibility_miss
310,309,8.00000013514487,7.296277094541237,226.48336858482122,62.979038510182285,0.18352459743421226,0.7110281254470079,edge,up,rear_left,False,False,shared_miss,4.568004608154297,4.14786958694458,0.016666666666666666,0.018333333333333333,4.525208241045573,4.587265508880923,00_lt_0.02,02_ge_0.45,low_visibility_miss
24,23,5.000000204003979,0.4970744774801684,6.440028274140293,-29.890092694793143,0.08449135279018519,0.11832306476597078,center,level,front_right,True,True,shared_catch,0.486278772354126,0.48400408029556274,0.14606741573033707,0.1455223880597015,1.6573036789860003,1.9544350589441046,03_ge_0.10,02_ge_0.45,shared_catch
69,68,4.999999877107141,1.688389095863134,77.76331987006539,8.608976752522766,-0.4084461267448229,-0.842062761936778,edge,level,front_right,True,True,shared_catch,0.48648586869239807,0.4951692521572113,0.14797136038186157,0.1497695852534562,2.3598837170394176,2.5615064297188312,03_ge_0.10,02_ge_0.45,shared_catch
89,88,4.9999999073484265,1.9251249229762355,116.81623351798544,5.811003860387709,0.27006047954432627,-0.13820901435613328,center,level,rear_right,True,True,shared_catch,0.4907876253128052,0.48991718888282776,0.14285714285714285,0.1479028697571744,2.323510369668062,2.3127973749799193,03_ge_0.10,02_ge_0.45,shared_catch
196,195,7.9999998976045665,0.4951844992950485,315.7692027836297,-30.631766918655146,0.04056038969425032,0.23172468789901843,center,down,front_left,True,True,shared_catch,0.4764021039009094,0.47299543023109436,0.14772727272727273,0.14714714714714713,1.8070293853277526,2.4751229154218497,03_ge_0.10,02_ge_0.45,shared_catch
