sim,seed,stratum,range_m,closing_speed_mps,caught,catch_time_s,min_distance_m,final_distance_m,visible_fraction,control_effort,terminal_pursuer_speed_mps,terminal_target_speed_mps,terminal_relative_speed_mps,steps,crashed,out_of_bounds,wall_s,error
beihang_paper,11,generated,5.000000029313027,0.40927888943994795,False,,0.799708902835846,5.290205955505371,0.09833333333333333,9.486645726671602,6.9366433065249264,0.0,6.9366433065249264,600,False,False,1.4632911346234323,
beihang_paper,18,generated,5.000000093681546,0.44517582219012997,True,1.9149984121322632,0.4929550886154175,0.4929550886154175,0.13054830287206268,2.360035685163345,4.562595340404166,0.0,4.562595340404166,383,False,False,1.4632911346234323,
beihang_paper,21,generated,5.000000129550799,0.47471004782797827,False,,0.7574361562728882,4.438689231872559,0.09333333333333334,9.081848826973735,6.516607014021294,0.0,6.516607014021294,600,False,False,1.6342827137486893,
beihang_paper,24,generated,5.000000204003979,0.4970744774801684,True,1.3399989604949951,0.48400408029556274,0.48400408029556274,0.1455223880597015,1.9544350589441046,5.456258608202271,0.0,5.456258608202271,268,False,False,1.7543135024316143,
beihang_paper,28,generated,4.9999997171047585,0.41360193557297514,True,2.0149986743927,0.4966689348220825,0.4966689348220825,0.12655086848635236,2.956034655984038,4.8754372359714315,0.0,4.8754372359714315,403,False,False,1.4632911346234323,
beihang_paper,35,generated,5.000000164195785,0.46916393851521176,False,,1.2255905866622925,2.731912612915039,0.051666666666666666,8.09087708353113,5.650127825518591,0.0,5.650127825518591,600,False,False,1.6342827137486893,
beihang_paper,52,generated,4.999999794488782,0.46122450395306414,False,,0.5034847259521484,3.9245142936706543,0.09833333333333333,8.06567864311571,7.581655638866218,0.0,7.581655638866218,600,False,False,1.6342827137486893,
beihang_paper,55,generated,4.9999999068865,0.48172242817295285,False,,0.7941539287567139,3.854527473449707,0.07666666666666666,8.892833432340842,6.00925614292365,0.0,6.00925614292365,600,False,False,1.6342827137486893,
beihang_paper,69,generated,4.999999877107141,1.688389095863134,True,2.1700022220611572,0.4951692521572113,0.4951692521572113,0.1497695852534562,2.5615064297188312,4.228549264846823,0.0,4.228549264846823,434,False,False,1.7543135024316143,
beihang_paper,89,generated,4.9999999073484265,1.9251249229762355,True,2.2650043964385986,0.48991718888282776,0.48991718888282776,0.1479028697571744,2.3127973749799193,3.381166795729832,0.0,3.381166795729832,453,False,False,1.7543135024316143,
beihang_paper,106,generated,4.999999873615167,1.9517857097770939,True,1.7949985265731812,0.4950721263885498,0.4950721263885498,0.12813370473537605,2.3325957797982455,2.5237362647997648,0.0,2.5237362647997648,359,False,False,1.4632911346234323,
beihang_paper,140,generated,4.9999999813657094,7.292126508964731,False,,1.77236807346344,25.913734436035156,0.020134228187919462,12.590485292387974,20.853926489128934,0.0,20.853926489128934,447,False,True,1.6342827137486893,
beihang_paper,168,generated,4.9999999678075255,7.061241823539529,False,,2.1292054653167725,23.330917358398438,0.018333333333333333,14.137422121304944,14.011809367096019,0.0,14.011809367096019,600,False,False,1.6342827137486893,
beihang_paper,171,generated,4.9999999665510115,6.994607003990442,False,,1.5544627904891968,8.44186019897461,0.03666666666666667,13.476605924408073,5.811541548094582,0.0,5.811541548094582,600,False,False,1.6342827137486893,
beihang_paper,196,generated,7.9999998976045665,0.4951844992950485,True,1.6649986505508423,0.47299543023109436,0.47299543023109436,0.14714714714714713,2.4751229154218497,7.379517081850653,0.0,7.379517081850653,333,False,False,1.7543135024316143,
beihang_paper,219,generated,8.000000032544335,0.45694181774136866,False,,1.7316099405288696,4.047672748565674,0.051666666666666666,9.061404374753645,4.993389626536947,0.0,4.993389626536947,600,False,False,1.4632911346234323,
beihang_paper,247,generated,8.000000036862062,1.5844964358038185,False,,0.8202552199363708,5.60507869720459,0.105,9.113652175498226,6.9133185860892565,0.0,6.9133185860892565,600,False,False,1.4632911346234323,
beihang_paper,253,generated,7.999999786330318,1.59574593727282,False,,1.003858208656311,6.499331474304199,0.10166666666666667,9.455325918463306,7.63565919974461,0.0,7.63565919974461,600,False,False,1.4632911346234323,
beihang_paper,254,generated,7.999999953969766,1.73934591248012,False,,0.7356306314468384,4.50663423538208,0.08666666666666667,9.020674547270438,7.433139152686541,0.0,7.433139152686541,600,False,False,1.6342827137486893,
beihang_paper,264,generated,7.999999821349574,1.9798140815048606,True,1.5449987649917603,0.48987412452697754,0.48987412452697754,0.14563106796116504,2.3082325624906175,6.463258075348493,0.0,6.463258075348493,309,False,False,1.4632911346234323,
beihang_paper,292,generated,7.999999998468859,6.3406310843156675,False,,5.397279739379883,20.364213943481445,0.011666666666666667,5.6738495696142275,16.47723456075758,0.0,16.47723456075758,600,False,False,1.7543135024316143,
beihang_paper,304,generated,7.999999952991283,6.221374165721737,False,,4.666114330291748,12.973339080810547,0.01,6.629342517357008,11.185822691251342,0.0,11.185822691251342,600,False,False,1.7543135024316143,
beihang_paper,310,generated,8.00000013514487,7.296277094541237,False,,4.14786958694458,6.657087802886963,0.018333333333333333,4.587265508880923,4.173544253558319,0.0,4.173544253558319,600,False,False,1.7543135024316143,
