sim,seed,stratum,range_m,closing_speed_mps,caught,catch_time_s,min_distance_m,final_distance_m,visible_fraction,control_effort,terminal_pursuer_speed_mps,terminal_target_speed_mps,terminal_relative_speed_mps,steps,crashed,out_of_bounds,wall_s,error
ivbs,11,generated,5.000000029313027,0.40927888943994795,False,,0.8254851698875427,3.4882194995880127,0.105,7.887081364500649,6.898136943503438,0.0,6.898136943503438,600,False,False,1.7206405123761215,
ivbs,18,generated,5.000000093681546,0.44517582219012997,False,,0.5155532956123352,6.1456146240234375,0.09666666666666666,10.185183206179762,7.096392704583626,0.0,7.096392704583626,600,False,False,1.7206405123761215,
ivbs,21,generated,5.000000129550799,0.47471004782797827,True,2.4800093173980713,0.48230215907096863,0.48230215907096863,0.1431451612903226,2.280795292106274,5.361375262563883,0.0,5.361375262563883,496,False,False,1.5149534041229344,
ivbs,24,generated,5.000000204003979,0.4970744774801684,True,1.3349989652633667,0.486278772354126,0.486278772354126,0.14606741573033707,1.6573036789860003,5.893630366235305,0.0,5.893630366235305,267,False,False,1.7690263325722688,
ivbs,28,generated,4.9999997171047585,0.41360193557297514,False,,0.9528211951255798,4.053239822387695,0.09,10.08925695008054,4.875387942332132,0.0,4.875387942332132,600,False,False,1.7206405123761215,
ivbs,35,generated,5.000000164195785,0.46916393851521176,True,2.7450153827667236,0.4871199131011963,0.4871199131011963,0.07103825136612021,2.884856348086527,5.914181350800434,0.0,5.914181350800434,549,False,False,1.5149534041229344,
ivbs,52,generated,4.999999794488782,0.46122450395306414,True,1.9099984169006348,0.4903523623943329,0.4903523623943329,0.14397905759162305,1.6576328345789377,4.184068089061034,0.0,4.184068089061034,382,False,False,1.5149534041229344,
ivbs,55,generated,4.9999999068865,0.48172242817295285,True,2.4800093173980713,0.4789596498012543,0.4789596498012543,0.14919354838709678,2.2482848139802103,4.888967723862022,0.0,4.888967723862022,496,False,False,1.5149534041229344,
ivbs,69,generated,4.999999877107141,1.688389095863134,True,2.0950005054473877,0.48648586869239807,0.48648586869239807,0.14797136038186157,2.3598837170394176,4.610152772334997,0.0,4.610152772334997,419,False,False,1.7690263325722688,
ivbs,89,generated,4.9999999073484265,1.9251249229762355,True,2.1000006198883057,0.4907876253128052,0.4907876253128052,0.14285714285714285,2.323510369668062,4.379058217462236,0.0,4.379058217462236,420,False,False,1.7690263325722688,
ivbs,106,generated,4.999999873615167,1.9517857097770939,False,,0.7244853973388672,5.107609748840332,0.09,10.261339884656147,5.148037781969401,0.0,5.148037781969401,600,False,False,1.7206405123761215,
ivbs,140,generated,4.9999999813657094,7.292126508964731,False,,1.7788879871368408,26.088178634643555,0.01805869074492099,13.537688444770255,20.64945349377628,0.0,20.64945349377628,443,False,True,1.5149534041229344,
ivbs,168,generated,4.9999999678075255,7.061241823539529,False,,2.131756544113159,23.211421966552734,0.013333333333333334,16.81023382143412,14.053688463479828,0.0,14.053688463479828,600,False,False,1.5149534041229344,
ivbs,171,generated,4.9999999665510115,6.994607003990442,False,,1.5312516689300537,12.396682739257812,0.015,17.79171013575115,13.398552598733028,0.0,13.398552598733028,600,False,False,1.5149534041229344,
ivbs,196,generated,7.9999998976045665,0.4951844992950485,True,1.7599985599517822,0.4764021039009094,0.4764021039009094,0.14772727272727273,1.8070293853277526,6.881187872228883,0.0,6.881187872228883,352,False,False,1.7690263325722688,
ivbs,219,generated,8.000000032544335,0.45694181774136866,False,,0.5915275812149048,0.5915275812149048,0.15,2.6573689262027083,6.149946411907398,0.0,6.149946411907398,600,False,False,1.7206405123761215,
ivbs,247,generated,8.000000036862062,1.5844964358038185,False,,0.8520345687866211,3.1163246631622314,0.115,7.673355166032347,7.288781650113675,0.0,7.288781650113675,600,False,False,1.7206405123761215,
ivbs,253,generated,7.999999786330318,1.59574593727282,False,,0.6848912239074707,3.906008720397949,0.11666666666666667,7.3628341852791905,9.11012784573447,0.0,9.11012784573447,600,False,False,1.7206405123761215,
ivbs,254,generated,7.999999953969766,1.73934591248012,False,,0.8640525937080383,0.9094284772872925,0.15,3.5130131594704608,1.9439556308133266,0.0,1.9439556308133266,600,False,False,1.5149534041229344,
ivbs,264,generated,7.999999821349574,1.9798140815048606,False,,0.5450573563575745,11.922646522521973,0.1,10.162296972595774,12.955271149840083,0.0,12.955271149840083,600,False,False,1.7206405123761215,
ivbs,292,generated,7.999999998468859,6.3406310843156675,False,,5.401340007781982,17.318246841430664,0.013333333333333334,7.739138999793152,11.669397045166459,0.0,11.669397045166459,600,False,False,1.7690263325722688,
ivbs,304,generated,7.999999952991283,6.221374165721737,False,,5.105617046356201,11.293685913085938,0.016666666666666666,7.017451481394116,8.91253051551275,0.0,8.91253051551275,600,False,False,1.7690263325722688,
ivbs,310,generated,8.00000013514487,7.296277094541237,False,,4.568004608154297,6.0401387214660645,0.016666666666666666,4.525208241045573,3.2532350758201836,0.0,3.2532350758201836,600,False,False,1.7690263325722688,
